1584722708.505054, 1
1584722708.548859, 2
1584722708.548889, 3
1584722708.592624, 4
1584722708.593770, 5
1584722708.593791, 6
1584722708.593804, 7
1584722708.636851, 8
1584722708.636866, 9
1584722708.636870, 10
1584722708.636874, 11
1584722708.636877, 12
1584722708.636882, 13
1584722708.636885, 14
1584722708.636996, 15
1584722708.679058, 22
1584722708.679073, 23
1584722708.679077, 24
1584722708.679080, 25
1584722708.680270, 26
1584722708.680278, 27
1584722708.680280, 28
1584722708.680282, 29
1584722708.680284, 39
1584722708.684357, 40
1584722708.686456, 41
1584722708.686464, 42
1584722708.686467, 43
1584722708.732748, 52
1584722708.732762, 53
1584722708.732772, 54
1584722708.732775, 55
1584722708.733913, 56
1584722708.733922, 57
1584722708.733925, 58
1584722708.733928, 59
1584722708.782258, 64
1584722708.782271, 65
1584722708.782274, 66
1584722708.782277, 67
1584722708.782279, 68
1584722708.783343, 69
1584722708.783349, 70
1584722708.785487, 71
1584722708.785494, 73
1584722708.785497, 74
1584722708.785499, 75
1584722708.785502, 76
1584722708.785505, 77
1584722708.785507, 78
1584722708.831978, 88
1584722708.831992, 89
1584722708.833099, 90
1584722708.833109, 91
1584722708.833112, 92
1584722708.833115, 93
1584722708.833118, 94
1584722708.833126, 95
1584722709.110337, 1
1584722709.972623, 1
1584722710.015175, 2
1584722710.016273, 3
1584722710.058431, 4
1584722710.060473, 5
1584722710.061588, 6
1584722710.061596, 7
1584722710.061599, 8
1584722710.062634, 9
1584722710.104656, 10
1584722710.104669, 11
1584722710.104671, 12
1584722710.105702, 13
1584722710.106754, 14
1584722710.106770, 15
1584722710.107806, 16
1584722710.108896, 17
1584722710.159863, 30
1584722710.159882, 31
1584722710.159885, 32
1584722710.159887, 33
1584722710.160936, 34
1584722710.163047, 35
1584722710.163058, 36
1584722710.163070, 37
1584722710.203897, 42
1584722710.203911, 43
1584722710.205024, 44
1584722710.205031, 45
1584722710.206074, 46
1584722710.206083, 47
1584722710.207151, 48
1584722710.207159, 49
1584722710.207166, 50
1584722710.208252, 51
1584722710.208265, 52
1584722710.211371, 53
1584722710.211380, 54
1584722710.212405, 55
1584722710.213474, 56
1584722710.255656, 57
1584722710.255673, 58
1584722710.255676, 59
1584722710.255760, 60
1584722710.255765, 61
1584722710.256740, 62
1584722710.258671, 63
1584722710.259843, 64
1584722710.259853, 78
1584722710.259891, 79
1584722710.259896, 80
1584722710.259898, 81
1584722710.259902, 82
1584722710.259904, 83
1584722710.300316, 84
1584722710.300328, 85
1584722710.300331, 86
1584722710.300333, 87
1584722710.300336, 88
1584722710.300338, 89
1584722710.300341, 90
1584722710.300343, 91
1584722710.303324, 104
1584722710.303333, 105
1584722710.304422, 106
1584722710.304430, 107
1584722710.306488, 108
1584722710.314618, 109
1584722710.314636, 110
1584722710.314703, 111
1584722710.343693, 116
1584722710.345784, 117
1584722710.345798, 118
1584722710.353908, 119
1584722710.353924, 120
1584722710.353928, 121
1584722710.357268, 122
1584722710.357279, 123
1584722710.967282, 140
1584722710.973304, 141
1584722711.013206, 142
1584722711.032056, 143
1584722711.036992, 144
1584722711.037025, 145
1584722711.037040, 146
1584722711.037054, 147
1584722711.037070, 148
1584722711.037107, 149
1584722711.038064, 150
1584722711.038097, 678
1584722711.038111, 679
1584722711.044880, 680
1584722711.044920, 681
1584722711.044935, 682
1584722711.044949, 683
1584722711.044965, 684
1584722711.045001, 685
1584722711.045015, 736
1584722711.045028, 737
1584722711.045044, 738
1584722711.045113, 848
1584722711.046060, 849
1584722711.046117, 850
1584722711.047075, 851
1584722711.047095, 852
1584722711.047597, 853
1584722711.048045, 854
1584722711.049038, 855
1584722711.050112, 856
1584722711.050133, 895
1584722711.051042, 896
1584722711.052041, 897
1584722711.053043, 965
1584722711.054063, 966
1584722711.054080, 967
1584722711.054094, 1012
1584722711.055054, 1162
1584722711.055071, 1173
1584722711.057089, 1202
1584722711.057115, 1345
1584722711.058220, 1480
1584722711.058534, 1622
1584722711.058598, 3292
1584722711.059763, 3293
1584722711.059822, 3294
1584722711.061141, 3477
1584722711.061208, 3478
1584722711.064063, 4574
1584722711.065077, 4575
1584722711.065206, 4576
1584722711.066084, 4583
1584722711.066101, 4584
1584722711.067055, 4585
1584722711.068075, 4586
1584722711.068097, 4587
1584722711.069100, 4623
1584722711.069118, 4624
1584722711.069137, 4664
1584722711.070060, 4665
1584722711.070083, 4701
1584722711.080092, 4702
1584722711.080113, 4746
1584722711.081074, 4788
1584722711.081142, 4789
1584722711.082198, 4826
1584722711.082215, 4827
1584722711.082228, 4828
1584722711.082331, 4865
1584722711.082346, 4866
1584722711.082359, 10157
1584722711.082459, 10158
1584722711.082475, 164
1584722711.082488, 165
1584722711.083046, 357
1584722711.093232, 358
1584722711.093308, 359
1584722711.093372, 360
1584722711.093435, 361
1584722711.093499, 362
1584722711.093561, 363
1584722711.093623, 415
1584722711.093684, 430
1584722711.093745, 525
1584722711.094055, 2204
1584722711.103311, 2205
1584722711.103402, 2206
1584722711.103469, 2268
1584722711.103534, 2269
1584722711.103593, 2270
1584722711.103654, 2271
1584722711.103716, 2272
1584722711.103778, 2276
1584722711.103839, 2277
1584722711.105072, 3166
1584722711.105089, 3167
1584722711.106063, 3168
1584722711.106082, 3169
1584722711.108060, 3170
1584722711.109079, 3171
1584722711.109097, 3172
1584722711.110054, 3173
1584722711.120156, 3206
1584722711.120234, 3207
1584722711.120301, 3208
1584722711.120367, 3236
1584722711.120425, 3237
1584722711.120487, 3308
1584722711.120550, 3340
1584722711.120614, 3341
